"ds","y"
"1873-11-08","2"
"1873-11-08","6"
"1873-11-08","1"
"1873-11-15","8"
"1873-11-15","4"
"1873-11-15","48"
"1873-11-15","3"
"1873-11-15","23"
"1873-11-22","3"
"1873-11-22","2"
"1873-11-22","50"
"1873-11-22","1"
"1873-11-22","33"
"1873-11-29","56"
"1873-11-29","24"
"1873-11-29","19"
"1873-11-29","25"
"1873-11-29","1"
"1873-12-06","28"
"1873-12-06","22"
"1873-12-06","13"
"1873-12-06","12"
"1873-12-06","27"
"1873-12-13","16"
"1873-12-13","4"
"1873-12-13","16"
"1873-12-13","12"
"1873-12-13","2"
"1873-12-20","30"
"1873-12-20","36"
"1873-12-20","26"
"1873-12-20","77"
"1873-12-20","8"
"1873-12-27","3"
"1873-12-27","24"
"1873-12-27","9"
"1873-12-27","45"
"1873-12-27","36"
"1874-01-03","17"
"1874-01-03","14"
"1874-01-03","18"
"1874-01-03","6"
"1874-01-03","5"
"1874-01-10","9"
"1874-01-10","2"
"1874-01-10","24"
"1874-01-10","4"
"1874-01-10","16"
"1874-01-17","31"
"1874-01-17","1"
"1874-01-17","6"
"1874-01-17","1"
"1874-01-17","14"
"1874-01-24","11"
"1874-01-24","4"
"1874-01-24","22"
"1874-01-24","6"
"1874-01-24","44"
"1874-01-31","24"
"1874-01-31","33"
"1874-01-31","10"
"1874-01-31","14"
"1874-01-31","1"
"1874-02-07","6"
"1874-02-07","31"
"1874-02-07","3"
"1874-02-07","7"
"1874-02-07","4"
"1874-02-14","10"
"1874-02-14","15"
"1874-02-14","30"
"1874-02-14","31"
"1874-02-14","1"
"1874-02-21","8"
"1874-02-21","40"
"1874-02-21","18"
"1874-02-21","15"
"1874-02-21","52"
"1874-02-28","3"
"1874-02-28","4"
"1874-02-28","1"
"1874-02-28","5"
"1874-02-28","1"
"1874-03-07","4"
"1874-03-07","55"
"1874-03-07","16"
"1874-03-07","9"
"1874-03-07","14"
"1874-03-14","12"
"1874-03-14","10"
"1874-03-14","6"
"1874-03-14","3"
"1874-03-14","66"
"1874-03-21","1"
"1874-03-21","13"
"1874-03-21","32"
"1874-03-21","2"
"1874-03-21","15"
"1874-03-28","17"
"1874-03-28","69"
"1874-03-28","6"
"1874-03-28","49"
"1874-03-28","56"
"1874-04-04","26"
"1874-04-04","31"
"1874-04-04","1"
"1874-04-04","52"
"1874-04-04","14"
"1874-04-11","20"
"1874-04-11","3"
"1874-04-11","11"
"1874-04-11","1"
